ca_num,ca_name,business_license_count,food_inspections_count,liquor_license_count,building_permits_count,pct_dependents,pct_working_age,per_capita_income,hardship_index,scaled_business_license_count,scaled_food_inspections_count,scaled_liquor_license_count,scaled_building_permits_count,saturation_index
76,OHARE,9.0,11.0,4.0,2.0,,,,,0.21428571428571427,0.14102564102564102,0.027777777777777776,0.018018018018018018,0.10076477576477576
43,SOUTH SHORE,4.0,16.0,4.0,9.0,35.7,64.3,19398.0,55.0,0.09523809523809523,0.20512820512820512,0.027777777777777776,0.08108108108108109,0.09964112464112464
56,GARFIELD RIDGE,5.0,6.0,7.0,18.0,38.1,61.9,26353.0,32.0,0.11904761904761904,0.07692307692307693,0.048611111111111105,0.16216216216216217,0.09600843975843976
44,CHATHAM,6.0,11.0,5.0,6.0,40.3,59.7,18881.0,60.0,0.14285714285714285,0.14102564102564102,0.034722222222222224,0.05405405405405406,0.09219817344817345
42,WOODLAWN,1.0,19.0,1.0,11.0,36.1,63.9,18672.0,58.0,0.023809523809523808,0.24358974358974358,0.006944444444444444,0.0990990990990991,0.08875297000297001
21,AVONDALE,4.0,5.0,13.0,12.0,31.0,69.0,20039.0,42.0,0.09523809523809523,0.0641025641025641,0.09027777777777778,0.10810810810810811,0.08854011979011979
71,AUBURN GRESHAM,2.0,14.0,3.0,12.0,41.9,58.1,15528.0,74.0,0.047619047619047616,0.1794871794871795,0.020833333333333332,0.10810810810810811,0.0846481783981784
11,JEFFERSON PARK,7.0,2.0,10.0,8.0,35.5,64.5,27751.0,25.0,0.16666666666666666,0.02564102564102564,0.06944444444444445,0.07207207207207207,0.08332467082467082
29,NORTH LAWNDALE,2.0,8.0,2.0,22.0,42.7,57.3,12034.0,87.0,0.047619047619047616,0.10256410256410256,0.013888888888888888,0.1981981981981982,0.08135209385209385
20,HERMOSA,5.0,14.0,3.0,0.0,36.4,63.6,15089.0,71.0,0.11904761904761904,0.1794871794871795,0.020833333333333332,0.0,0.08088369963369964
1,ROGERS PARK,2.0,5.0,17.0,9.0,27.5,72.5,23939.0,39.0,0.047619047619047616,0.0641025641025641,0.11805555555555555,0.08108108108108109,0.07956328581328581
65,WEST LAWN,6.0,4.0,11.0,2.0,39.6,60.4,16907.0,56.0,0.14285714285714285,0.05128205128205128,0.07638888888888888,0.018018018018018018,0.0750550688050688
66,CHICAGO LAWN,2.0,6.0,11.0,10.0,40.6,59.4,13231.0,80.0,0.047619047619047616,0.07692307692307693,0.07638888888888888,0.09009009009009009,0.07207021582021582
34,ARMOUR SQUARE,2.0,8.0,11.0,5.0,38.3,61.7,16148.0,82.0,0.047619047619047616,0.10256410256410256,0.07638888888888888,0.04504504504504504,0.06947146322146322
57,ARCHER HEIGHTS,2.0,12.0,6.0,2.0,39.2,60.8,16134.0,67.0,0.047619047619047616,0.15384615384615385,0.041666666666666664,0.018018018018018018,0.06646990396990397
73,WASHINGTON HEIGHTS,2.0,8.0,2.0,13.0,,,,,0.047619047619047616,0.10256410256410256,0.013888888888888888,0.11711711711711711,0.06513587763587764
72,BEVERLY,3.0,8.0,3.0,8.0,40.5,59.5,39523.0,12.0,0.07142857142857142,0.10256410256410256,0.020833333333333332,0.07207207207207207,0.06416258291258291
46,SOUTH CHICAGO,2.0,12.0,1.0,5.0,41.1,58.9,16579.0,75.0,0.047619047619047616,0.15384615384615385,0.006944444444444444,0.04504504504504504,0.06145864270864271
67,WEST ENGLEWOOD,3.0,3.0,3.0,15.0,40.7,59.3,11317.0,89.0,0.07142857142857142,0.038461538461538464,0.020833333333333332,0.13513513513513514,0.0607495544995545
10,NORWOOD PARK,3.0,2.0,7.0,9.0,39.5,60.5,32875.0,21.0,0.07142857142857142,0.02564102564102564,0.048611111111111105,0.08108108108108109,0.05506694881694881
