ca_num,ca_name,bars_undersupply,gyms_undersupply,shops_undersupply,schools_undersupply,combined_opportunity_index,overall_rank
68,ENGLEWOOD,0.9930555555555556,0.9122061738884168,0.9714285714285714,0.3043478260869565,0.860087835603378,50
69,GREATER GRAND CROSSING,0.9652777777777778,0.8940809968847352,0.8571428571428572,0.5652173913043478,0.8568759553801203,51
21,AVONDALE,0.9097222222222224,0.8926649674313225,0.8571428571428572,0.6521739130434783,0.8528279581382995,52
3,UPTOWN,0.8958333333333334,0.8598130841121496,0.8571428571428572,0.7391304347826086,0.8518492047367505,53
60,BRIDGEPORT,0.9722222222222224,0.8476352308128009,0.7142857142857143,0.8260869565217391,0.8484417079601964,54
5,NORTH CENTER,0.8472222222222223,0.8569810252053243,0.8857142857142857,0.7391304347826086,0.8435591108742267,55
77,EDGEWATER,0.8819444444444445,0.7958085528178986,0.8285714285714285,0.782608695652174,0.827860060669386,56
4,LINCOLN SQUARE,0.8958333333333334,0.8133673180402151,0.7428571428571429,0.8260869565217391,0.8223875246046111,57
16,IRVING PARK,0.8958333333333334,0.8405550835457378,0.8571428571428572,0.5652173913043478,0.8199848480450878,58
14,ALBANY PARK,0.9305555555555556,0.841687907108468,0.7142857142857143,0.6521739130434783,0.8080705543271574,59
29,NORTH LAWNDALE,0.9861111111111112,0.8541489662984989,0.9428571428571428,0.1304347826086956,0.8073575263284731,60
58,BRIGHTON PARK,0.9791666666666669,0.8402718776550553,0.7428571428571429,0.4782608695652174,0.803284979445585,61
70,ASHBURN,0.951388888888889,0.8312092891532143,0.7142857142857143,0.5652173913043478,0.7981334906797116,62
15,PORTAGE PARK,0.8680555555555556,0.75672613990371,0.6571428571428571,0.7391304347826086,0.7625897881408853,63
2,WEST RIDGE,0.9166666666666669,0.8026054941942792,0.5142857142857142,0.6086956521739131,0.7356574246557993,64
61,NEW CITY,0.9791666666666669,0.817615406400453,0.5714285714285714,0.3478260869565217,0.7340656778207569,65
19,BELMONT CRAGIN,0.8680555555555556,0.8088360237892948,0.6571428571428571,0.3478260869565217,0.7195271011326476,66
7,LINCOLN PARK,0.6527777777777778,0.7065986972529029,0.8,0.7391304347826086,0.7186825077265956,67
31,LOWER WEST SIDE,0.8472222222222223,0.7924100821297083,0.6571428571428571,0.3913043478260869,0.7148710577652065,68
30,SOUTH LAWNDALE,0.9583333333333334,0.8147833474936278,0.6571428571428571,0.0,0.6962207185338026,69
